# chrono du surcoût VIS-01 (tâche 10) — écrit par le lanceur, une ligne par run
# nom	jours	heure_locale_debut	t0_epoch	t1_epoch	secondes	code_sortie
2026-09-10 19:09:10 début des mesures
demarrage_SANS	0	19:09:14	1789060154.669659000	1789060158.035320000	3.37	0
demarrage_AVEC	0	19:09:18	1789060158.052231000	1789060160.857891000	2.81	0
prevol_SANS	5	19:09:20	1789060160.873356000	1789060168.955890000	8.08	0
prevol_AVEC	5	19:09:28	1789060168.973715000	1789060177.306447000	8.33	0
surcout_SANS_rep1	50	19:09:37	1789060177.324085000	1789060236.188862000	58.86	0
surcout_AVEC_rep1	50	19:10:36	1789060236.209454000	1789060298.373947000	62.16	0
surcout_SANS_rep2	50	19:11:38	1789060298.391365000	1789060356.439081000	58.05	0
surcout_AVEC_rep2	50	19:12:36	1789060356.456722000	1789060418.592085000	62.14	0
surcout_SANS_rep3	50	19:13:38	1789060418.610324000	1789060476.573990000	57.96	0
surcout_AVEC_rep3	50	19:14:36	1789060476.592622000	1789060538.462045000	61.87	0
2026-09-10 19:15:38 fin des mesures
demarrage_SANS_bis1	0	19:15:56	1789060556.142769000	1789060559.772452000	3.63	0
demarrage_AVEC_bis1	0	19:15:59	1789060559.788879000	1789060562.629854000	2.84	0
demarrage_SANS_bis2	0	19:16:02	1789060562.646088000	1789060565.482767000	2.84	0
demarrage_AVEC_bis2	0	19:16:05	1789060565.499669000	1789060568.395968000	2.90	0
demarrage_SANS_bis3	0	19:16:08	1789060568.412376000	1789060571.166612000	2.75	0
demarrage_AVEC_bis3	0	19:16:11	1789060571.185093000	1789060574.205869000	3.02	0
